username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
clusteraeice,AEICE,https://twitter.com/ClusterAeice/status/1301420456705171456,"""✅ ¿Te gusta conducir? 🚗 Nunca habías pensado que los salpicaderos o paragolpes están fabricados con #Poliéster Reforzado con #FibradeVidrio #PRFV para ser duraderos y resistentes🏎️ ¡En el #Taller4LifeRefibre te lo contamos!
#EconomiaCircular #residuos #innovacion #pavimentos… https",2020-09-03 00:23:00,3,,1,,0,Poliéster | FibradeVidrio | PRFV | Taller4LifeRefi | EconomiaCircula | residuos | innovacion | pavimentos,8,,https://pbs.twimg.com/media/Eg-R2s3XcAUftDi.jpg
clusteraeice,AEICE,https://twitter.com/ClusterAeice/status/1302880352990621696,"""🛩️ Volar es un sueño cumplido gracias a los aviones ✈️ y al #Poliéster Reforzado con #FibradeVidrio #PRFV que hace sus piezas muy resistentes al ataque químico, duras y flexibles a la vez 🛸 Te lo contamos todo en el #Taller4LifeRefibre ¡Aún puedes apuntarte!
#EconomiaCircular… https",2020-09-07 01:04:00,3,1,1,,0,Poliéster | FibradeVidrio | PRFV | Taller4LifeRefi | EconomiaCircula,5,,https://pbs.twimg.com/media/EhTB9S0XYAAvjJW.jpg
ivorywu7,Ivory Wu,https://twitter.com/IvoryWu7/status/1300274659548565504,"""easy cutting with any shape 
whatsapp",2020-08-30 20:30:00,,,0,,0,,0,,
hsiangluni,HsiangLun Industrial,https://twitter.com/HsianglunI/status/1301424137114587139,"""We devote to developing the fabric more eco-friendly, and we are the bluesign partner.

Welcome to contact us",2020-09-03 00:37:00,2,,1,,0,,0,,
bowmaycons,Bowmay Consulting,https://twitter.com/BowmayCons/status/1301764967163666433,"""Who do you know in the Textile sector who needs a new job...?

Please pop their details on the link below, and we'll help them out today!

https",2020-09-03 23:12:00,,,0,,0,,0,,https://pbs.twimg.com/media/EhDMVnkWkAAKbrM.jpg
textilespedia,Textilespedia,https://twitter.com/textilespedia/status/1300102872164564993,"""Curious to know about textile sector? Then take an overview of Textile Industry 👉🏻

https",2020-08-30 09:07:00,2,,0,,0,,0,,
onestrugglesf,One Struggle,https://twitter.com/OneStruggleSF/status/1301535883083087873,"""#Textile workers in #Haiti have to work through #covid19 w/o healthcare b/c #AlainVillard has stolen their payments for years! Officials meant to help them to do the opposite, so they are organizing to help themselves. You can support by donating https",2020-09-03 08:01:00,5,3,1,,0,Textile | Haiti | covid19 | AlainVillard,4,,https://pbs.twimg.com/media/Eg_7-r3WAAEIc8Y.jpg | https://pbs.twimg.com/media/Eg_7-r5WkAEKg2G.jpg | https://pbs.twimg.com/media/Eg_7-r5XcAMbq2o.jpg
bowmaycons,Bowmay Consulting,https://twitter.com/BowmayCons/status/1301406531448172545,"""20 years in recruitment. What’s it like?
Jessica Dean-Percy shares her views (and a classic pic, which you're not allowed to laugh at...) of how things have changed in recruitment and across the textile & supply chain sectors

#recruitment #textile  ... https",2020-09-02 23:27:00,,,0,,0,recruitment | textile,2,,https://pbs.twimg.com/media/Eg-GV3fXgAUUY5O.jpg
driftnetartsweb,Driftnet Arts,https://twitter.com/driftnetartsweb/status/1302340469385506817,"""New on my website today, mixed media landscapes. Freestanding on a light wood base. Inspired by walks along the Suffolk coastline. Free shipping to UK. #landscape #beach #ocean #driftnetarts #framlingham #textile… https",2020-09-05 13:18:00,1,,0,,0,landscape | beach | ocean | driftnetarts | framlingham | textile,6,,
en_germany,Deutschland.de | Germany,https://twitter.com/en_germany/status/1302552909629001729,"""+++ German government helps textile industry in developing countries

❗ Click here 👉 https",2020-09-06 03:23:00,17,2,0,,0,,0,,https://pbs.twimg.com/media/EhOY98OX0AEwALt.png
puffinpatchwork,Magghi,https://twitter.com/puffinpatchwork/status/1302683000128364546,"""Doing a happy dance as this sold at the Mull of Gallery today ❤️
#UKCraftersHour #HandmadeHour #Textile #recycling #textileart #gift #gallery #galloway #Scotland… https",2020-09-06 12:00:00,11,3,0,,0,UKCraftersHour | HandmadeHour | Textile | recycling | textileart | gift | gallery | galloway | Scotland,9,,https://pbs.twimg.com/media/EhQPSGMWsAYjUfA.jpg
cf_framing,Custom Frames,https://twitter.com/CF_Framing/status/1302881804878336000,"""You might need to look carefully to see the football player in this #batik artwork, but you certainly couldn't miss the finished #framed image at 5ft wide. The image was painted onto #textile, which we stretched onto a wooden frame we had made especially for it.… https",2020-09-07 01:10:00,1,,0,,0,batik | framed | textile,3,,https://pbs.twimg.com/media/EhTEGN_WAAIfOeh.jpg
thevonwong,Von Wong,https://twitter.com/thevonwong/status/1301188222639370243,"""Last week, Jack Sim talked about mutual exploitation. This week, 4x Ironman @Graham_Ross shows what can be achieved through mutual benefit & curiosity.
Full interview on Impact Everywhere ep 23",2020-09-02 09:00:00,,,0,Graham_Ross,1,,0,,https://pbs.twimg.com/media/Eg6_ywtXYAkRArb.jpg
haqsmusings,Riaz Haq,https://twitter.com/haqsmusings/status/1302816654108180480,"""#Pakistan to Grow #Hemp For #Manufacturing & #Export of #Industrial and #Medicinal Products. It has been used to smoke and to to make ropes, bags and #textile fabrics for centuries. Rope beds, known as charpais, are still a common sight in rural Pakistan. https",2020-09-06 20:51:00,16,6,0,,0,Pakistan | Hemp | Manufacturing | Export | Industrial | Medicinal | textile,7,,https://pbs.twimg.com/media/EhSIx5BUMAEvk7P.jpg
bowmaycons,Bowmay Consulting,https://twitter.com/BowmayCons/status/1302925592548069377,"""A textile that can change and remember its shape
 https",2020-09-07 04:04:00,,,0,,0,,0,,https://pbs.twimg.com/media/EhTr665WkAEHGVl.jpg
mswhol1gan,Heather Hockin ,https://twitter.com/MsWhol1gan/status/1302577453190217729,"""Tonight I'm starting the Caracal cat's iconic ears. Thought of waiting to show you when they were actually done, but I'm just too excited. 🐱 #artdoll #textile #artshare #crafturday #crafting #Caturday… https",2020-09-06 05:00:00,10,5,0,,0,artdoll | textile | artshare | crafturday | crafting | Caturday,6,,https://pbs.twimg.com/media/EhOvSkMX0AAss95.jpg
hurmerintaart,Hurmerinta Art,https://twitter.com/HurmerintaArt/status/1302744126551732225,"""This beautiful jungle design is available on my Redbubble shop as #wallart #bags #pillows #showercurtains #cards #coasters #textile #pouches #accessories and #facemasks 😊… https",2020-09-06 16:02:00,8,10,0,,0,wallart | bags | pillows | showercurtains | cards | coasters | textile | pouches | accessories | facemasks,10,,https://pbs.twimg.com/media/EhRG2-iXYAAl5CS.jpg
